S.No,Medicine Name,Price (INR),Use,Quantity,Latitude,Longitude,Hold
1,Aspirin,5,Pain relief,100,11.92924,79.82996,
2,Ibuprofen,8,Pain and inflammation,50,11.92924,79.82996,
3,Paracetamol,4,Pain and fever relief,200,11.92924,79.82996,
4,Omeprazole,10,Acid reflux,30,11.92924,79.82996,
5,Cetirizine,6,Allergy relief,80,11.92924,79.82996,
6,Amoxicillin,12,Antibiotic,40,11.92924,79.82996,
7,Simvastatin,15,Cholesterol management,60,11.92924,79.82996,
8,Losartan,9,Blood pressure control,70,11.92924,79.82996,
9,Levothyroxine,7,Thyroid disorders,90,11.92924,79.82996,
10,Metformin,6,Diabetes management,120,11.92924,79.82996,
11,Prednisone,8,Anti-inflammatory,40,11.92924,79.82996,
12,Diphenhydramine,5,Allergy relief,60,11.92924,79.82996,
13,Warfarin,12,Blood thinning,45,11.92924,79.82996,
14,Ciprofloxacin,9,Antibiotic,35,11.92924,79.82996,
15,Lisinopril,7,Blood pressure control,55,11.92924,79.82996,
16,Sertraline,10,Antidepressant,70,11.92924,79.82996,
17,Metoprolol,8,Heart conditions,40,11.92924,79.82996,
18,Albuterol,6,Asthma relief,90,11.92924,79.82996,
19,Atorvastatin,12,Cholesterol management,50,11.92924,79.82996,
20,Escitalopram,10,Antidepressant,60,11.92924,79.82996,
21,Hydrochlorothiazide,7,Diuretic,80,11.92924,79.82996,
22,Gabapentin,9,Nerve pain,30,11.92924,79.82996,
23,Fluoxetine,8,Antidepressant,70,11.92924,79.82996,
24,Pantoprazole,11,Acid reflux,40,11.92924,79.82996,
25,Furosemide,6,Diuretic,60,11.92924,79.82996,
26,Amlodipine,9,Blood pressure control,45,11.92924,79.82996,
27,Trazodone,10,Insomnia,50,11.92924,79.82996,
28,Bupropion,7,Antidepressant,40,11.92924,79.82996,
29,Carvedilol,8,Heart conditions,35,11.92924,79.82996,
30,Rosuvastatin,11,Cholesterol management,60,11.92924,79.82996,
31,Metronidazole,9,Antibiotic,30,11.92924,79.82996,
32,Loratadine,6,Allergy relief,80,11.92924,79.82996,
33,Atenolol,8,Blood pressure control,50,11.92924,79.82996,
34,Dexamethasone,12,Anti-inflammatory,20,11.92924,79.82996,
35,Clonazepam,7,Anxiety,40,11.92924,79.82996,
36,Venlafaxine,10,Antidepressant,60,11.92924,79.82996,
37,Methylprednisolone,11,Anti-inflammatory,25,11.92924,79.82996,
38,Rabeprazole,12,Acid reflux,30,11.92924,79.82996,
39,Pregabalin,9,Nerve pain,50,11.92924,79.82996,
40,Valsartan,8,Blood pressure control,70,11.92924,79.82996,
41,Montelukast,6,Asthma relief,40,11.92924,79.82996,
42,Cephalexin,7,Antibiotic,50,11.92924,79.82996,
43,Duloxetine,10,Antidepressant,45,11.92924,79.82996,
44,Prednisolone,9,Anti-inflammatory,40,11.92924,79.82996,
45,Azithromycin,11,Antibiotic,30,11.92924,79.82996,
46,Lorazepam,8,Anxiety,60,11.92924,79.82996,
47,Aripiprazole,12,Antipsychotic,40,11.92924,79.82996,
48,Tamsulosin,7,Prostate conditions,35,11.92924,79.82996,
49,Budesonide,10,Asthma and COPD,25,11.92924,79.82996,
50,Quetiapine,9,Antipsychotic,50,11.92924,79.82996,
51,Metformin,7,Diabetes management,60,11.92924,79.82996,
52,Aspirin,5,Pain relief,100,11.92924,79.82996,
53,Ibuprofen,8,Pain and inflammation,50,11.92924,79.82996,
54,Paracetamol,4,Pain and fever relief,200,11.92924,79.82996,
55,Omeprazole,10,Acid reflux,30,11.92924,79.82996,
56,Cetirizine,6,Allergy relief,80,11.92924,79.82996,
57,Amoxicillin,12,Antibiotic,40,11.92924,79.82996,
58,Simvastatin,15,Cholesterol management,60,11.92924,79.82996,
59,Losartan,9,Blood pressure control,70,11.92924,79.82996,
60,Levothyroxine,7,Thyroid disorders,90,11.92924,79.82996,
61,Metformin,6,Diabetes management,120,11.92924,79.82996,
62,Prednisone,8,Anti-inflammatory,40,11.92924,79.82996,
63,Diphenhydramine,5,Allergy relief,60,11.92924,79.82996,
64,Warfarin,12,Blood thinning,45,11.92924,79.82996,
65,Ciprofloxacin,9,Antibiotic,35,11.92924,79.82996,
66,Lisinopril,7,Blood pressure control,55,11.92924,79.82996,
67,Sertraline,10,Antidepressant,70,11.92924,79.82996,
68,Metoprolol,8,Heart conditions,40,11.92924,79.82996,
69,Albuterol,6,Asthma relief,90,11.92924,79.82996,
70,Atorvastatin,12,Cholesterol management,50,11.92924,79.82996,
71,Escitalopram,10,Antidepressant,60,11.92924,79.82996,
72,Hydrochlorothiazide,7,Diuretic,80,11.92924,79.82996,
73,Gabapentin,9,Nerve pain,30,11.92924,79.82996,
74,Fluoxetine,8,Antidepressant,70,11.92924,79.82996,
75,Pantoprazole,11,Acid reflux,40,11.92924,79.82996,
76,Furosemide,6,Diuretic,60,11.92924,79.82996,
77,Amlodipine,9,Blood pressure control,45,11.92924,79.82996,
78,Trazodone,10,Insomnia,50,11.92924,79.82996,
79,Bupropion,7,Antidepressant,40,11.92924,79.82996,
80,Carvedilol,8,undefined,undefined,11.92924,79.82996,
