S.No,Medicine Name,Price (INR),Use,Quantity,Latitude,Longitude,Hold
1,Donepezil,6,Alzheimer's disease,40,11.90676,79.80691,
2,Nifedipine,8,Blood pressure control,30,11.90676,79.80691,
3,Memantine,12,Alzheimer's disease,20,11.90676,79.80691,
4,Fluticasone,7,Allergy relief,70,11.90676,79.80691,
5,Loperamide,6,Diarrhea,40,11.90676,79.80691,
6,Citalopram,10,Antidepressant,60,11.90676,79.80691,
7,Aripiprazole,12,Antipsychotic,35,11.90676,79.80691,
8,Escitalopram,9,Antidepressant,45,11.90676,79.80691,
9,Topiramate,8,Seizures,50,11.90676,79.80691,
10,Desvenlafaxine,11,Antidepressant,30,11.90676,79.80691,
11,Risperidone,10,Antipsychotic,40,11.90676,79.80691,
12,Oxycodone,15,Pain relief,30,11.90676,79.80691,
13,Tramadol,12,Pain relief,50,11.90676,79.80691,
14,Pregabalin,9,Nerve pain,40,11.90676,79.80691,
15,Gabapentin,8,Nerve pain,60,11.90676,79.80691,
16,Tizanidine,7,Muscle relaxant,40,11.90676,79.80691,
17,Methotrexate,11,Rheumatoid arthritis,20,11.90676,79.80691,
18,Naproxen,6,Pain and inflammation,70,11.90676,79.80691,
19,Hydroxyzine,9,Anxiety,50,11.90676,79.80691,
20,Escitalopram,10,Antidepressant,60,11.90676,79.80691,
21,Mirtazapine,7,Antidepressant,40,11.90676,79.80691,
22,Prazosin,8,Blood pressure control,30,11.90676,79.80691,
23,Mupirocin,12,Skin infections,40,11.90676,79.80691,
24,Clindamycin,11,Antibiotic,25,11.90676,79.80691,
25,Sildenafil,10,Erectile dysfunction,60,11.90676,79.80691,
26,Finasteride,9,Hair loss,50,11.90676,79.80691,
27,Tadalafil,15,Erectile dysfunction,40,11.90676,79.80691,
28,Alprazolam,8,Anxiety,30,11.90676,79.80691,
29,Risperidone,12,Antipsychotic,35,11.90676,79.80691,
30,Amlodipine,7,Blood pressure control,40,11.90676,79.80691,
31,Candesartan,10,Blood pressure control,50,11.90676,79.80691,
32,Levetiracetam,9,Seizures,30,11.90676,79.80691,
33,Olanzapine,8,Antipsychotic,40,11.90676,79.80691,
34,Esomeprazole,12,Acid reflux,25,11.90676,79.80691,
35,Metoclopramide,7,Nausea and vomiting,60,11.90676,79.80691,
36,Fluconazole,10,Antifungal,40,11.90676,79.80691,
37,Sertraline,8,Antidepressant,50,11.90676,79.80691,
38,Tramadol,9,Pain relief,40,11.90676,79.80691,
39,Hydroxyzine,6,Anxiety,60,11.90676,79.80691,
40,Pantoprazole,12,Acid reflux,40,11.90676,79.80691,
41,Loratadine,7,Allergy relief,50,11.90676,79.80691,
42,Desvenlafaxine,10,Antidepressant,30,11.90676,79.80691,
43,Ciprofloxacin,11,Antibiotic,40,11.90676,79.80691,
44,Warfarin,9,Blood thinning,25,11.90676,79.80691,
45,Albuterol,8,Asthma relief,70,11.90676,79.80691,
46,Metronidazole,7,Antibiotic,60,11.90676,79.80691,
47,Atenolol,6,Blood pressure control,40,11.90676,79.80691,
48,Methylprednisolone,12,Anti-inflammatory,30,11.90676,79.80691,
49,Levothyroxine,10,Thyroid disorders,40,11.90676,79.80691,
50,Metformin,7,Diabetes management,60,11.90676,79.80691,
51,Amlodipine,9,Blood pressure control,45,11.90676,79.80691,
52,Candesartan,10,Blood pressure control,50,11.90676,79.80691,
53,Levetiracetam,9,Seizures,30,11.90676,79.80691,
54,Olanzapine,8,Antipsychotic,40,11.90676,79.80691,
55,Esomeprazole,12,Acid reflux,25,11.90676,79.80691,
56,Metoclopramide,7,Nausea and vomiting,60,11.90676,79.80691,
57,Fluconazole,10,Antifungal,40,11.90676,79.80691,
58,Sertraline,8,Antidepressant,50,11.90676,79.80691,
59,Tramadol,9,Pain relief,40,11.90676,79.80691,
60,Hydroxyzine,6,Anxiety,60,11.90676,79.80691,
61,Pantoprazole,12,Acid reflux,40,11.90676,79.80691,
62,Loratadine,7,Allergy relief,50,11.90676,79.80691,
63,Desvenlafaxine,10,Antidepressant,30,11.90676,79.80691,
64,Ciprofloxacin,11,Antibiotic,40,11.90676,79.80691,
65,Warfarin,9,Blood thinning,25,11.90676,79.80691,
66,Albuterol,8,Asthma relief,70,11.90676,79.80691,
67,Metronidazole,7,Antibiotic,60,11.90676,79.80691,
68,Atenolol,6,Blood pressure control,40,11.90676,79.80691,
69,Methylprednisolone,12,Anti-inflammatory,30,11.90676,79.80691,
70,Levothyroxine,10,Thyroid disorders,40,11.90676,79.80691,
