S.No,Medicine Name,Price (INR),Use,Quantity,Latitude,Longitude,Hold
1,Omeprazole,10,Acid reflux,30,10.93101,79.83177,
2,Cetirizine,6,Allergy relief,80,10.93101,79.83177,
3,Amoxicillin,12,Antibiotic,40,10.93101,79.83177,
4,Simvastatin,15,Cholesterol management,60,10.93101,79.83177,
5,Losartan,9,Blood pressure control,70,10.93101,79.83177,
6,Levothyroxine,7,Thyroid disorders,90,10.93101,79.83177,
7,Metformin,6,Diabetes management,120,10.93101,79.83177,
8,Prednisone,8,Anti-inflammatory,40,10.93101,79.83177,
9,Diphenhydramine,5,Allergy relief,60,10.93101,79.83177,
10,Warfarin,12,Blood thinning,45,10.93101,79.83177,
11,Ciprofloxacin,9,Antibiotic,35,10.93101,79.83177,
12,Lisinopril,7,Blood pressure control,55,10.93101,79.83177,
13,Sertraline,10,Antidepressant,70,10.93101,79.83177,
14,Metoprolol,8,Heart conditions,40,10.93101,79.83177,
15,Albuterol,6,Asthma relief,90,10.93101,79.83177,
16,Atorvastatin,12,Cholesterol management,50,10.93101,79.83177,
17,Escitalopram,10,Antidepressant,60,10.93101,79.83177,
18,Hydrochlorothiazide,7,Diuretic,80,10.93101,79.83177,
19,Gabapentin,9,Nerve pain,30,10.93101,79.83177,
20,Fluoxetine,8,Antidepressant,70,10.93101,79.83177,
21,Pantoprazole,11,Acid reflux,40,10.93101,79.83177,
22,Furosemide,6,Diuretic,60,10.93101,79.83177,
23,Amlodipine,9,Blood pressure control,45,10.93101,79.83177,
24,Trazodone,10,Insomnia,50,10.93101,79.83177,
25,Bupropion,7,Antidepressant,40,10.93101,79.83177,
26,Carvedilol,8,Heart conditions,35,10.93101,79.83177,
27,Rosuvastatin,11,Cholesterol management,60,10.93101,79.83177,
28,Metronidazole,9,Antibiotic,30,10.93101,79.83177,
29,Loratadine,6,Allergy relief,80,10.93101,79.83177,
30,Atenolol,8,Blood pressure control,50,10.93101,79.83177,
31,Dexamethasone,12,Anti-inflammatory,20,10.93101,79.83177,
32,Clonazepam,7,Anxiety,40,10.93101,79.83177,
33,Venlafaxine,10,Antidepressant,60,10.93101,79.83177,
34,Methylprednisolone,11,Anti-inflammatory,25,10.93101,79.83177,
35,Rabeprazole,12,Acid reflux,30,10.93101,79.83177,
36,Pregabalin,9,Nerve pain,50,10.93101,79.83177,
37,Valsartan,8,Blood pressure control,70,10.93101,79.83177,
38,Montelukast,6,Asthma relief,40,10.93101,79.83177,
39,Cephalexin,7,Antibiotic,50,10.93101,79.83177,
40,Duloxetine,10,Antidepressant,45,10.93101,79.83177,
41,Prednisolone,9,Anti-inflammatory,40,10.93101,79.83177,
42,Azithromycin,11,Antibiotic,30,10.93101,79.83177,
43,Lorazepam,8,Anxiety,60,10.93101,79.83177,
44,Aripiprazole,12,Antipsychotic,40,10.93101,79.83177,
45,Tamsulosin,7,Prostate conditions,35,10.93101,79.83177,
46,Budesonide,10,Asthma and COPD,25,10.93101,79.83177,
47,Quetiapine,9,Antipsychotic,50,10.93101,79.83177,
48,Donepezil,6,Alzheimer's disease,40,10.93101,79.83177,
49,Nifedipine,8,Blood pressure control,30,10.93101,79.83177,
50,Memantine,12,Alzheimer's disease,20,10.93101,79.83177,
51,Fluticasone,7,Allergy relief,70,10.93101,79.83177,
52,Loperamide,6,Diarrhea,40,10.93101,79.83177,
53,Citalopram,10,Antidepressant,60,10.93101,79.83177,
54,Aripiprazole,12,Antipsychotic,35,10.93101,79.83177,
55,Escitalopram,9,Antidepressant,45,10.93101,79.83177,
56,Topiramate,8,Seizures,50,10.93101,79.83177,
57,Desvenlafaxine,11,Antidepressant,30,10.93101,79.83177,
58,Risperidone,10,Antipsychotic,40,10.93101,79.83177,
59,Oxycodone,15,Pain relief,30,10.93101,79.83177,
60,Tramadol,12,Pain relief,50,10.93101,79.83177,
61,Pregabalin,9,Nerve pain,40,10.93101,79.83177,
62,Gabapentin,8,Nerve pain,60,10.93101,79.83177,
63,Tizanidine,7,Muscle relaxant,40,10.93101,79.83177,
64,Methotrexate,11,Rheumatoid arthritis,20,10.93101,79.83177,
65,Naproxen,6,Pain and inflammation,70,10.93101,79.83177,
66,Hydroxyzine,9,Anxiety,50,10.93101,79.83177,
67,Escitalopram,10,Antidepressant,60,10.93101,79.83177,
68,Mirtazapine,7,Antidepressant,40,10.93101,79.83177,
69,Prazosin,8,Blood pressure control,30,10.93101,79.83177,
70,Mupirocin,12,Skin infections,40,10.93101,79.83177,
71,Clindamycin,11,Antibiotic,25,10.93101,79.83177,
72,Sildenafil,10,Erectile dysfunction,60,10.93101,79.83177,
73,Finasteride,9,Hair loss,50,10.93101,79.83177,
74,Tadalafil,15,Erectile dysfunction,40,10.93101,79.83177,
75,Alprazolam,8,Anxiety,30,10.93101,79.83177,
76,Risperidone,12,Antipsychotic,35,10.93101,79.83177,
77,Amlodipine,7,Blood pressure control,40,10.93101,79.83177,
78,Candesartan,10,Blood pressure control,50,10.93101,79.83177,
79,Levetiracetam,9,Seizures,30,10.93101,79.83177,
80,Olanzapine,undefined,undefined,undefined,10.93101,79.83177,
